suite_size,killed_892,score_892,killed_5,score_5
5,168,67.2,39,15.6
5,137,54.8,31,12.4
4,151,60.4,27,10.8
5,148,59.2,32,12.8
5,154,61.6,25,10
4,138,55.2,24,9.6
6,149,59.6,29,11.6
5,169,67.6,44,17.6
6,159,63.6,38,15.2
6,144,57.6,30,12
4,153,61.2,34,13.6
4,144,57.6,25,10
5,155,62,32,12.8
6,149,59.6,25,10
5,156,62.4,38,15.2
6,157,62.8,37,14.8
5,160,64,32,12.8
4,162,64.8,30,12
5,149,59.6,30,12
7,154,61.6,27,10.8
6,156,62.4,38,15.2
5,158,63.2,31,12.4
5,161,64.4,39,15.6
5,152,60.8,39,15.6
6,155,62,34,13.6
5,148,59.2,30,12
5,156,62.4,40,16
5,142,56.8,32,12.8
4,152,60.8,35,14
5,152,60.8,31,12.4
3,138,55.2,26,10.4
4,150,60,25,10
5,149,59.6,35,14
6,156,62.4,26,10.4
4,152,60.8,40,16
7,159,63.6,40,16
4,149,59.6,27,10.8
4,163,65.2,46,18.4
5,164,65.6,34,13.6
5,143,57.2,33,13.2
