suite_size,killed_105,score_105,killed_11,score_11
4,161,64.4,137,54.8
6,161,64.4,135,54
8,162,64.8,138,55.2
7,163,65.2,139,55.6
7,172,68.8,146,58.4
6,161,64.4,135,54
9,166,66.4,139,55.6
11,162,64.8,137,54.8
6,155,62,130,52
9,164,65.6,140,56
6,169,67.6,142,56.8
7,156,62.4,129,51.6
5,157,62.8,130,52
5,149,59.6,123,49.2
5,161,64.4,135,54
9,159,63.6,135,54
6,163,65.2,138,55.2
5,147,58.8,123,49.2
10,164,65.6,140,56
6,154,61.6,131,52.4
5,153,61.2,125,50
5,156,62.4,129,51.6
13,174,69.6,148,59.2
12,155,62,131,52.4
7,154,61.6,130,52
8,159,63.6,133,53.2
4,165,66,139,55.6
8,175,70,149,59.6
6,156,62.4,131,52.4
5,157,62.8,132,52.8
5,172,68.8,146,58.4
7,157,62.8,132,52.8
4,161,64.4,137,54.8
12,175,70,150,60
6,167,66.8,142,56.8
9,171,68.4,147,58.8
5,150,60,126,50.4
7,159,63.6,132,52.8
9,167,66.8,142,56.8
7,164,65.6,139,55.6
