OBC_o0
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
92.663476874
