suite_size,killed_105,score_105,killed_11,score_11
1,115,46,87,34.8
2,109,43.6,81,32.4
2,95,38,64,25.6
2,132,52.8,105,42
2,134,53.6,106,42.4
1,96,38.4,68,27.2
2,111,44.4,81,32.4
1,98,39.2,68,27.2
2,110,44,82,32.8
2,118,47.2,84,33.6
1,94,37.6,65,26
1,103,41.2,74,29.6
2,127,50.8,105,42
2,117,46.8,86,34.4
2,99,39.6,70,28
2,113,45.2,86,34.4
1,97,38.8,70,28
2,131,52.4,103,41.2
3,111,44.4,83,33.2
1,96,38.4,68,27.2
1,142,56.8,110,44
1,95,38,68,27.2
2,108,43.2,76,30.4
4,123,49.2,90,36
2,123,49.2,94,37.6
2,111,44.4,82,32.8
2,132,52.8,105,42
2,122,48.8,96,38.4
2,110,44,81,32.4
1,93,37.2,66,26.4
2,133,53.2,100,40
1,107,42.8,74,29.6
2,128,51.2,100,40
2,116,46.4,89,35.6
3,136,54.4,110,44
3,136,54.4,107,42.8
1,87,34.8,61,24.4
2,125,50,96,38.4
1,108,43.2,77,30.8
3,143,57.2,114,45.6
