suite_size,killed_105,score_105,killed_11,score_11
2,114,45.6,85,34
2,92,36.8,66,26.4
2,121,48.4,96,38.4
2,112,44.8,83,33.2
1,73,29.2,47,18.8
1,88,35.2,53,21.2
1,92,36.8,60,24
1,90,36,57,22.8
1,98,39.2,72,28.8
1,96,38.4,68,27.2
1,86,34.4,52,20.8
2,87,34.8,55,22
1,55,22,24,9.6
2,130,52,101,40.4
2,110,44,76,30.4
2,88,35.2,58,23.2
1,77,30.8,43,17.2
1,98,39.2,72,28.8
1,97,38.8,64,25.6
2,103,41.2,78,31.2
1,114,45.6,86,34.4
2,110,44,81,32.4
1,98,39.2,69,27.6
2,70,28,40,16
2,104,41.6,74,29.6
1,101,40.4,77,30.8
1,96,38.4,68,27.2
2,104,41.6,80,32
1,112,44.8,85,34
1,88,35.2,59,23.6
1,149,59.6,120,48
2,122,48.8,94,37.6
2,97,38.8,65,26
1,88,35.2,59,23.6
1,98,39.2,71,28.4
2,80,32,51,20.4
2,121,48.4,88,35.2
1,123,49.2,92,36.8
1,99,39.6,72,28.8
2,96,38.4,66,26.4
