suite_size,killed_105,score_105,killed_11,score_11
1,121,48.4,91,36.4
2,130,52,101,40.4
2,121,48.4,92,36.8
1,113,45.2,88,35.2
2,100,40,72,28.8
2,122,48.8,93,37.2
2,131,52.4,100,40
2,123,49.2,89,35.6
2,122,48.8,92,36.8
1,101,40.4,71,28.4
1,108,43.2,79,31.6
1,102,40.8,67,26.8
1,103,41.2,74,29.6
1,97,38.8,72,28.8
1,57,22.8,30,12
2,102,40.8,68,27.2
1,101,40.4,77,30.8
2,77,30.8,44,17.6
2,104,41.6,79,31.6
2,110,44,84,33.6
3,98,39.2,69,27.6
2,61,24.4,24,9.6
1,50,20,24,9.6
1,76,30.4,45,18
1,103,41.2,71,28.4
1,98,39.2,72,28.8
1,95,38,68,27.2
1,118,47.2,88,35.2
1,92,36.8,60,24
1,129,51.6,99,39.6
2,98,39.2,67,26.8
2,114,45.6,80,32
1,108,43.2,79,31.6
2,97,38.8,65,26
3,94,37.6,68,27.2
2,101,40.4,73,29.2
3,91,36.4,57,22.8
1,66,26.4,36,14.4
2,65,26,33,13.2
2,91,36.4,57,22.8
