suite_size,killed_105,score_105,killed_11,score_11
3,127,50.8,100,40
4,145,58,117,46.8
3,136,54.4,107,42.8
3,138,55.2,112,44.8
4,138,55.2,111,44.4
2,145,58,116,46.4
3,132,52.8,105,42
2,129,51.6,100,40
6,131,52.4,102,40.8
3,139,55.6,109,43.6
3,143,57.2,116,46.4
5,151,60.4,124,49.6
5,149,59.6,122,48.8
4,128,51.2,99,39.6
2,137,54.8,109,43.6
4,131,52.4,97,38.8
3,155,62,127,50.8
4,145,58,119,47.6
3,146,58.4,119,47.6
3,135,54,107,42.8
4,137,54.8,105,42
3,130,52,101,40.4
5,159,63.6,132,52.8
2,130,52,102,40.8
4,139,55.6,111,44.4
3,151,60.4,124,49.6
5,153,61.2,121,48.4
3,143,57.2,115,46
5,152,60.8,127,50.8
6,151,60.4,125,50
3,142,56.8,114,45.6
3,122,48.8,88,35.2
2,154,61.6,124,49.6
5,133,53.2,108,43.2
5,137,54.8,110,44
5,145,58,117,46.8
4,135,54,104,41.6
4,137,54.8,105,42
4,161,64.4,134,53.6
4,138,55.2,112,44.8
