suite_size,killed_105,score_105,killed_11,score_11
4,148,59.2,120,48
5,168,67.2,139,55.6
5,155,62,129,51.6
4,142,56.8,117,46.8
5,148,59.2,119,47.6
4,126,50.4,97,38.8
4,154,61.6,127,50.8
4,145,58,119,47.6
3,146,58.4,120,48
3,136,54.4,107,42.8
6,155,62,129,51.6
6,141,56.4,110,44
3,139,55.6,109,43.6
4,149,59.6,123,49.2
4,143,57.2,116,46.4
3,156,62.4,126,50.4
3,140,56,111,44.4
6,155,62,129,51.6
4,153,61.2,127,50.8
4,137,54.8,107,42.8
4,140,56,115,46
7,153,61.2,127,50.8
3,150,60,120,48
4,159,63.6,128,51.2
2,139,55.6,112,44.8
3,149,59.6,119,47.6
5,160,64,134,53.6
3,141,56.4,113,45.2
4,153,61.2,126,50.4
5,133,53.2,107,42.8
6,145,58,120,48
2,136,54.4,110,44
4,153,61.2,129,51.6
5,158,63.2,130,52
3,158,63.2,128,51.2
5,152,60.8,125,50
4,146,58.4,119,47.6
5,143,57.2,118,47.2
5,155,62,123,49.2
4,156,62.4,129,51.6
